title,link,pubDate,creator/__cdata,guid/_isPermaLink,guid/__text,description,encoded/0/__cdata,encoded/1/__cdata,post_id/__text,post_date/__cdata,post_date_gmt/__cdata,comment_status/__cdata,ping_status/__cdata,post_name/__cdata,status/__cdata,post_parent/__text,menu_order/__text,post_type/__cdata,post_password/__cdata,is_sticky/__text,postmeta/0/meta_key/__cdata,postmeta/0/meta_value/__cdata,postmeta/1/meta_key/__cdata,postmeta/1/meta_value/__cdata,postmeta/2/meta_key/__cdata,postmeta/2/meta_value/__cdata,postmeta/3/meta_key/__cdata,postmeta/3/meta_value/__cdata,postmeta/4/meta_key/__cdata,postmeta/4/meta_value/__cdata,postmeta/5/meta_key/__cdata,postmeta/5/meta_value/__cdata,postmeta/6/meta_key/__cdata,postmeta/6/meta_value/__cdata,postmeta/7/meta_key/__cdata,postmeta/7/meta_value/__cdata,postmeta/8/meta_key/__cdata,postmeta/8/meta_value/__cdata,postmeta/9/meta_key/__cdata,postmeta/9/meta_value/__cdata
On-Site at Surfas 2,https://www.slowrisepizza.com/?post_type=tribe_rsvp_tickets&p=6443,"Wed, 14 Jul 2021 02:05:12 +0000",slowriseadmin,false,https://www.slowrisepizza.com/?post_type=tribe_rsvp_tickets&p=6443,,,This is an On-Site Class at Surfas Culinary District,6443,2021-07-13 19:05:12,2021-07-14 02:05:12,closed,closed,on-site-at-surfas-2,publish,0,2,tribe_rsvp_tickets,,0,_tribe_rsvp_for_event,6437,_tribe_ticket_show_description,yes,_price,0,_manage_stock,no,_tribe_ticket_capacity,-1,_tribe_ticket_version,5.1.6,_tribe_ticket_show_not_going,1,_ticket_start_date,2021-07-13 19:00:00,_ticket_end_date,2021-07-13 23:00:00,_tribe_tickets_meta,a:0:{}
new rsvp 1,https://www.slowrisepizza.com/?post_type=tribe_rsvp_tickets&p=6448,"Wed, 14 Jul 2021 04:00:29 +0000",slowriseadmin,false,https://www.slowrisepizza.com/?post_type=tribe_rsvp_tickets&p=6448,,,new rsvp 1 new rsvp 1 new rsvp 1,6448,2021-07-13 21:00:29,2021-07-14 04:00:29,closed,closed,new-rsvp-1,publish,0,1,tribe_rsvp_tickets,,0,_tribe_rsvp_for_event,6445,_tribe_ticket_show_description,yes,_price,0,_manage_stock,no,_tribe_ticket_capacity,-1,_tribe_ticket_version,5.1.6,_tribe_ticket_show_not_going,,_ticket_start_date,2021-07-13 00:00:00,_ticket_end_date,2021-07-14 00:00:00,_tribe_tickets_meta,a:0:{}
